,rank,id,title,year,rating
0,1,tt0111161,The Shawshank Redemption,1994,9.2
1,2,tt0068646,The Godfather,1972,9.1
2,3,tt0071562,The Godfather: Part II,1974,9.0
3,4,tt0468569,The Dark Knight,2008,9.0
4,5,tt0050083,12 Angry Men,1957,8.9
5,6,tt0108052,Schindler's List,1993,8.9
6,7,tt0167260,The Lord of the Rings: The Return of the King,2003,8.9
7,8,tt0110912,Pulp Fiction,1994,8.8
8,9,tt0060196,"The Good, the Bad and the Ugly",1966,8.8
9,10,tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,8.8
10,11,tt0137523,Fight Club,1999,8.8
11,12,tt0109830,Forrest Gump,1994,8.8
12,13,tt1375666,Inception,2010,8.7
13,14,tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,8.7
14,15,tt0167261,The Lord of the Rings: The Two Towers,2002,8.7
15,16,tt0133093,The Matrix,1999,8.6
16,17,tt0099685,Goodfellas,1990,8.6
17,18,tt0073486,One Flew Over the Cuckoo's Nest,1975,8.6
18,19,tt0047478,Seven Samurai,1954,8.6
19,20,tt0114369,Se7en,1995,8.6
20,21,tt0118799,Life Is Beautiful,1997,8.6
21,22,tt0317248,City of God,2002,8.6
22,23,tt0102926,The Silence of the Lambs,1991,8.6
23,24,tt0038650,It's a Wonderful Life,1946,8.6
24,25,tt0076759,Star Wars: Episode IV - A New Hope,1977,8.6
25,26,tt0120815,Saving Private Ryan,1998,8.5
26,27,tt6751668,Parasite,2019,8.5
27,28,tt0245429,Spirited Away,2001,8.5
28,29,tt0120689,The Green Mile,1999,8.5
29,30,tt0816692,Interstellar,2014,8.5
30,31,tt0110413,Léon: The Professional,1994,8.5
31,32,tt0114814,The Usual Suspects,1995,8.5
32,33,tt0056058,Harakiri,1962,8.5
33,34,tt0110357,The Lion King,1994,8.5
34,35,tt0120586,American History X,1998,8.5
35,36,tt0253474,The Pianist,2002,8.5
36,37,tt0088763,Back to the Future,1985,8.5
37,38,tt0103064,Terminator 2: Judgment Day,1991,8.5
38,39,tt0027977,Modern Times,1936,8.5
39,40,tt0054215,Psycho,1960,8.5
40,41,tt0172495,Gladiator,2000,8.5
41,42,tt0021749,City Lights,1931,8.5
42,43,tt0407887,The Departed,2006,8.5
43,44,tt1675434,The Intouchables,2011,8.5
44,45,tt2582802,Whiplash,2014,8.5
45,46,tt0482571,The Prestige,2006,8.5
46,47,tt0064116,Once Upon a Time in the West,1968,8.5
47,48,tt0095327,Grave of the Fireflies,1988,8.4
48,49,tt0034583,Casablanca,1942,8.4
49,50,tt0047396,Rear Window,1954,8.4
50,51,tt0095765,Cinema Paradiso,1988,8.4
51,52,tt7286456,Joker,2019,8.4
52,53,tt0078748,Alien,1979,8.4
53,54,tt0078788,Apocalypse Now,1979,8.4
54,55,tt0209144,Memento,2000,8.4
55,56,tt0082971,Indiana Jones and the Raiders of the Lost Ark,1981,8.4
56,57,tt0032553,The Great Dictator,1940,8.4
57,58,tt0405094,The Lives of Others,2006,8.4
58,59,tt1853728,Django Unchained,2012,8.4
59,60,tt0050825,Paths of Glory,1957,8.4
60,61,tt0081505,The Shining,1980,8.4
61,62,tt4154756,Avengers: Infinity War,2018,8.4
62,63,tt0910970,WALL·E,2008,8.4
63,64,tt0043014,Sunset Blvd.,1950,8.4
64,65,tt4633694,Spider-Man: Into the Spider-Verse,2018,8.4
65,66,tt0119698,Princess Mononoke,1997,8.4
66,67,tt0057012,Dr. Strangelove,1964,8.4
67,68,tt0364569,Oldboy,2003,8.4
68,69,tt0051201,Witness for the Prosecution,1957,8.4
69,70,tt4154796,Avengers: Endgame,2019,8.3
70,71,tt1345836,The Dark Knight Rises,2012,8.3
71,72,tt0087843,Once Upon a Time in America,1984,8.3
72,73,tt0090605,Aliens,1986,8.3
73,74,tt5311514,Your Name.,2016,8.3
74,75,tt2380307,Coco,2017,8.3
75,76,tt0169547,American Beauty,1999,8.3
76,77,tt0066763,Anand,1971,8.3
77,78,tt0112573,Braveheart,1995,8.3
78,79,tt0082096,Das Boot,1981,8.3
79,80,tt1187043,3 Idiots,2009,8.3
80,81,tt0114709,Toy Story,1995,8.3
81,82,tt0057565,High and Low,1963,8.3
82,83,tt0986264,Like Stars on Earth,2007,8.3
83,84,tt0086879,Amadeus,1984,8.3
84,85,tt0086190,Star Wars: Episode VI - Return of the Jedi,1983,8.3
85,86,tt8579674,1917,2019,8.3
86,87,tt0105236,Reservoir Dogs,1992,8.3
87,88,tt0361748,Inglourious Basterds,2009,8.3
88,89,tt0119217,Good Will Hunting,1997,8.3
89,90,tt0062622,2001: A Space Odyssey,1968,8.3
90,91,tt0052357,Vertigo,1958,8.3
91,92,tt0180093,Requiem for a Dream,2000,8.3
92,93,tt0022100,M,1931,8.3
93,94,tt5074352,Dangal,2016,8.3
94,95,tt8267604,Capernaum,2018,8.3
95,96,tt0338013,Eternal Sunshine of the Spotless Mind,2004,8.3
96,97,tt0033467,Citizen Kane,1941,8.3
97,98,tt2106476,The Hunt,2012,8.3
98,99,tt0093058,Full Metal Jacket,1987,8.3
99,100,tt0040522,Bicycle Thieves,1948,8.2
100,101,tt0053125,North by Northwest,1959,8.2
101,102,tt0012349,The Kid,1921,8.2
102,103,tt0066921,A Clockwork Orange,1971,8.2
103,104,tt0208092,Snatch,2000,8.2
104,105,tt0045152,Singin' in the Rain,1952,8.2
105,106,tt0086250,Scarface,1983,8.2
106,107,tt0075314,Taxi Driver,1976,8.2
107,108,tt0211915,Amélie,2001,8.2
108,109,tt0056172,Lawrence of Arabia,1962,8.2
109,110,tt0070735,The Sting,1973,8.2
110,111,tt0435761,Toy Story 3,2010,8.2
111,112,tt0044741,Ikiru,1952,8.2
112,113,tt0017136,Metropolis,1927,8.2
113,114,tt0059578,For a Few Dollars More,1965,8.2
114,115,tt1832382,A Separation,2011,8.2
