,title,year
0,"The Good, the Bad and the Ugly",1966
1,The Pianist,2002
2,The Avengers,2012
3,3 Idiots,2009
4,Once Upon a Time in the West,1968
5,It's a Wonderful Life,1946
6,Downfall,2004
7,Sunset Boulevard,1950
8,The Great Escape,1963
9,Warrior,2011
10,Some Like It Hot,1959
11,The Handmaiden,2016
12,Rosemary's Baby,1968
13,The Kid,1921
14,Amores Perros,2000
15,Roman Holiday,1953
16,Short Term 12,2013
17,Dear Zachary: A Letter to a Son About His Father,2008
18,Diabolique,1955
19,The General,1926
20,A Trip to the Moon,1902
21,The Cabinet of Dr. Caligari,1920
22,Stop Making Sense,1984
23,Temple Grandin,2010
24,Stalag 17,1953
25,The Act of Killing,2012
26,The Man Who Shot Liberty Valance,1962
27,Paradise Lost: The Child Murders at Robin Hood Hills,1996
28,Chak De! India,2007
29,Tumbbad,2018
30,3-Iron,2004
31,Queen,2013
32,Samsara,2011
33,For Sama,2019
34,Sweet Smell of Success,1957
35,The Last Waltz,1978
36,The Square,2013
37,The Look of Silence,2014
38,Fiddler on the Roof,1971
39,My Man Godfrey,1936
40,Sholay,1975
41,Fitzcarraldo,1982
42,Paradise Lost 3: Purgatory,2011
43,Long Strange Trip,2017
44,Mahanati,2018
45,K.G.F: Chapter 1,2018
46,The Snowman,1982
47,Gleason,2016
48,Tom Petty and the Heartbreakers: Runnin' Down a Dream,2007
49,Shoeshine,1946
50,White Light/Black Rain: The Destruction of Hiroshima and Nagasaki,2007
51,Pyaasa,1957
52,Kannathil Muthamittal,2002
53,Life According to Sam,2013
54,Emmet Otter's Jug-Band Christmas,1977
55,Andy Irons: Kissed by God,2018
56,Ugly,2013
57,Alive Inside,2014
58,The Mountain II,2016
59,Dilwale Dulhania Le Jayenge,1995
60,Blood Brother,2013
61,Cries from Syria,2017
62,Why We Fight,2005
63,Sign 'o' The Times,1987
64,Bones Brigade: An Autobiography,2012
65,I Am Kalam,2010
66,Mr. Calzaghe,2015
67,Wait for Your Laugh,2017
68,My Sassy Girl,2001
69,Home,2009
70,Andaz Apna Apna,1994
71,Love on a Leash,2011
72,The English Surgeon,2009
73,Anand,1971
74,The Sopranos,1999
75,Louis C.K.: Shameless,2007
76,Mike Birbiglia: My Girlfriend's Boyfriend,2013
77,Gol Maal,1979
78,Chupke Chupke,1975
79,Empire of Dreams: The Story of the Star Wars Trilogy,2004
80,Theeran Adhigaaram Ondru,2017
81,Valley Uprising,2014
82,Crossing Arizona,2006
83,Jigarthanda,2014
84,Hitting the Apex,2015
85,Aruvi,2017
86,Rangasthalam,2018
87,George Carlin: Back in Town,1996
88,Arjun Reddy,2017
89,TransFatty Lives,2015
90,George Carlin: Jammin' in New York,1992
91,Jaane Bhi Do Yaaro,1983
92,Honor Flight,2012
93,1,2013
94,The Culture High,2014
95,Louis C.K.: Oh My God,2013
96,George Carlin: You Are All Diseased,1999
97,Sufna,2020
98,Hera Pheri,2000
99,Jeff Dunham: Spark of Insanity,2007
100,Bill Hicks: Sane Man,1989
101,An Occurrence at Owl Creek Bridge,1962
102,Athadu,2005
103,The Legend of Bhagat Singh,2002
104,Roja,1992
105,Bruce Lee: A Warrior's Journey,2000
106,George Carlin: Complaints & Grievances,2001
107,Padosan,1968
108,Nayakan,1987
109,People of a Feather,2012
110,George Carlin: Life Is Worth Losing,2005
111,Style Wars,1983
112,My Sweet Little Village,1985
113,Bawarchi,1972
114,Ankhon Dekhi,2014
115,George Carlin: It's Bad for Ya!,2008
116,Man in Red Bandana,2017
117,Father of a Soldier,1964
118,George Carlin: Doin' it Again,1990
119,The Good Soldier,2009
120,Bill Hicks: Revelations,1993
121,Jeff Dunham: Arguing with Myself,2006
122,Awaara,1951
123,Jim Jefferies: I Swear to God,2009
124,Disorder in the Court,1936
125,Maanagaram,2017
126,Kon-Tiki,1950
127,Hearing Is Believing,2017
128,7 Days in Syria,2015
129,Coldplay: Live 2003,2003
130,Untamed Romania,2018
131,George Carlin: George's Best Stuff,1996
132,Biswa Kalyan Rath : Biswa Mast Aadmi,2017
133,Dark Shadows: The Haunting of Collinwood,2009
134,Zakir Khan : Haq Se Single,2017
135,Only Old Men Are Going to Battle,1973
136,The Who: The Kids Are Alright,1979
137,Doug Stanhope: No Refunds,2007
138,Michael Jordan: His Airness,1999
